"","species","culmen_length_mm","body_mass_g"
"1","Adelie Penguin (Pygoscelis adeliae)",39.1,3750
"2","Adelie Penguin (Pygoscelis adeliae)",39.5,3800
"3","Adelie Penguin (Pygoscelis adeliae)",40.3,3250
"4","Adelie Penguin (Pygoscelis adeliae)",36.7,3450
"5","Adelie Penguin (Pygoscelis adeliae)",39.3,3650
"6","Adelie Penguin (Pygoscelis adeliae)",38.9,3625
"7","Adelie Penguin (Pygoscelis adeliae)",39.2,4675
"8","Adelie Penguin (Pygoscelis adeliae)",34.1,3475
"9","Adelie Penguin (Pygoscelis adeliae)",42,4250
"10","Adelie Penguin (Pygoscelis adeliae)",37.8,3300
"11","Adelie Penguin (Pygoscelis adeliae)",37.8,3700
"12","Adelie Penguin (Pygoscelis adeliae)",41.1,3200
"13","Adelie Penguin (Pygoscelis adeliae)",38.6,3800
"14","Adelie Penguin (Pygoscelis adeliae)",34.6,4400
"15","Adelie Penguin (Pygoscelis adeliae)",36.6,3700
"16","Adelie Penguin (Pygoscelis adeliae)",38.7,3450
"17","Adelie Penguin (Pygoscelis adeliae)",42.5,4500
"18","Adelie Penguin (Pygoscelis adeliae)",34.4,3325
"19","Adelie Penguin (Pygoscelis adeliae)",46,4200
"20","Adelie Penguin (Pygoscelis adeliae)",37.8,3400
"21","Adelie Penguin (Pygoscelis adeliae)",37.7,3600
"22","Adelie Penguin (Pygoscelis adeliae)",35.9,3800
"23","Adelie Penguin (Pygoscelis adeliae)",38.2,3950
"24","Adelie Penguin (Pygoscelis adeliae)",38.8,3800
"25","Adelie Penguin (Pygoscelis adeliae)",35.3,3800
"26","Adelie Penguin (Pygoscelis adeliae)",40.6,3550
"27","Adelie Penguin (Pygoscelis adeliae)",40.5,3200
"28","Adelie Penguin (Pygoscelis adeliae)",37.9,3150
"29","Adelie Penguin (Pygoscelis adeliae)",40.5,3950
"30","Adelie Penguin (Pygoscelis adeliae)",39.5,3250
"31","Adelie Penguin (Pygoscelis adeliae)",37.2,3900
"32","Adelie Penguin (Pygoscelis adeliae)",39.5,3300
"33","Adelie Penguin (Pygoscelis adeliae)",40.9,3900
"34","Adelie Penguin (Pygoscelis adeliae)",36.4,3325
"35","Adelie Penguin (Pygoscelis adeliae)",39.2,4150
"36","Adelie Penguin (Pygoscelis adeliae)",38.8,3950
"37","Adelie Penguin (Pygoscelis adeliae)",42.2,3550
"38","Adelie Penguin (Pygoscelis adeliae)",37.6,3300
"39","Adelie Penguin (Pygoscelis adeliae)",39.8,4650
"40","Adelie Penguin (Pygoscelis adeliae)",36.5,3150
"41","Adelie Penguin (Pygoscelis adeliae)",40.8,3900
"42","Adelie Penguin (Pygoscelis adeliae)",36,3100
"43","Adelie Penguin (Pygoscelis adeliae)",44.1,4400
"44","Adelie Penguin (Pygoscelis adeliae)",37,3000
"45","Adelie Penguin (Pygoscelis adeliae)",39.6,4600
"46","Adelie Penguin (Pygoscelis adeliae)",41.1,3425
"47","Adelie Penguin (Pygoscelis adeliae)",37.5,2975
"48","Adelie Penguin (Pygoscelis adeliae)",36,3450
"49","Adelie Penguin (Pygoscelis adeliae)",42.3,4150
"50","Adelie Penguin (Pygoscelis adeliae)",39.6,3500
"51","Adelie Penguin (Pygoscelis adeliae)",40.1,4300
"52","Adelie Penguin (Pygoscelis adeliae)",35,3450
"53","Adelie Penguin (Pygoscelis adeliae)",42,4050
"54","Adelie Penguin (Pygoscelis adeliae)",34.5,2900
"55","Adelie Penguin (Pygoscelis adeliae)",41.4,3700
"56","Adelie Penguin (Pygoscelis adeliae)",39,3550
"57","Adelie Penguin (Pygoscelis adeliae)",40.6,3800
"58","Adelie Penguin (Pygoscelis adeliae)",36.5,2850
"59","Adelie Penguin (Pygoscelis adeliae)",37.6,3750
"60","Adelie Penguin (Pygoscelis adeliae)",35.7,3150
"61","Adelie Penguin (Pygoscelis adeliae)",41.3,4400
"62","Adelie Penguin (Pygoscelis adeliae)",37.6,3600
"63","Adelie Penguin (Pygoscelis adeliae)",41.1,4050
"64","Adelie Penguin (Pygoscelis adeliae)",36.4,2850
"65","Adelie Penguin (Pygoscelis adeliae)",41.6,3950
