"","species","culmen_length_mm","body_mass_g"
"1","Adelie",39.1,3750
"2","Adelie",39.5,3800
"3","Adelie",40.3,3250
"4","Adelie",36.7,3450
"5","Adelie",39.3,3650
"6","Adelie",38.9,3625
"7","Adelie",39.2,4675
"8","Adelie",34.1,3475
"9","Adelie",42,4250
"10","Adelie",37.8,3300
"11","Adelie",37.8,3700
"12","Adelie",41.1,3200
"13","Adelie",38.6,3800
"14","Adelie",34.6,4400
"15","Adelie",36.6,3700
"16","Adelie",38.7,3450
"17","Adelie",42.5,4500
"18","Adelie",34.4,3325
"19","Adelie",46,4200
"20","Adelie",37.8,3400
"21","Adelie",37.7,3600
"22","Adelie",35.9,3800
"23","Adelie",38.2,3950
"24","Adelie",38.8,3800
"25","Adelie",35.3,3800
"26","Adelie",40.6,3550
"27","Adelie",40.5,3200
"28","Adelie",37.9,3150
"29","Adelie",40.5,3950
"30","Adelie",39.5,3250
"31","Adelie",37.2,3900
"32","Adelie",39.5,3300
"33","Adelie",40.9,3900
"34","Adelie",36.4,3325
"35","Adelie",39.2,4150
"36","Adelie",38.8,3950
"37","Adelie",42.2,3550
"38","Adelie",37.6,3300
"39","Adelie",39.8,4650
"40","Adelie",36.5,3150
"41","Adelie",40.8,3900
"42","Adelie",36,3100
"43","Adelie",44.1,4400
"44","Adelie",37,3000
"45","Adelie",39.6,4600
"46","Adelie",41.1,3425
"47","Adelie",37.5,2975
"48","Adelie",36,3450
"49","Adelie",42.3,4150
"50","Adelie",39.6,3500
"51","Adelie",40.1,4300
"52","Adelie",35,3450
"53","Adelie",42,4050
"54","Adelie",34.5,2900
"55","Adelie",41.4,3700
"56","Adelie",39,3550
"57","Adelie",40.6,3800
"58","Adelie",36.5,2850
"59","Adelie",37.6,3750
"60","Adelie",35.7,3150
"61","Adelie",41.3,4400
"62","Adelie",37.6,3600
"63","Adelie",41.1,4050
"64","Adelie",36.4,2850
"65","Adelie",41.6,3950
"66","Adelie",35.5,3350
"67","Adelie",41.1,4100
"68","Adelie",35.9,3050
"69","Adelie",41.8,4450
"70","Adelie",33.5,3600
"71","Adelie",39.7,3900
"72","Adelie",39.6,3550
"73","Adelie",45.8,4150
"74","Adelie",35.5,3700
"75","Adelie",42.8,4250
"76","Adelie",40.9,3700
"77","Adelie",37.2,3900
"78","Adelie",36.2,3550
"79","Adelie",42.1,4000
"80","Adelie",34.6,3200
"81","Adelie",42.9,4700
"82","Adelie",36.7,3800
"83","Adelie",35.1,4200
"84","Adelie",37.3,3350
"85","Adelie",41.3,3550
"86","Adelie",36.3,3800
"87","Adelie",36.9,3500
"88","Adelie",38.3,3950
"89","Adelie",38.9,3600
"90","Adelie",35.7,3550
"91","Adelie",41.1,4300
"92","Adelie",34,3400
"93","Adelie",39.6,4450
"94","Adelie",36.2,3300
"95","Adelie",40.8,4300
"96","Adelie",38.1,3700
"97","Adelie",40.3,4350
"98","Adelie",33.1,2900
"99","Adelie",43.2,4100
"100","Adelie",35,3725
"101","Adelie",41,4725
"102","Adelie",37.7,3075
"103","Adelie",37.8,4250
"104","Adelie",37.9,2925
"105","Adelie",39.7,3550
"106","Adelie",38.6,3750
"107","Adelie",38.2,3900
"108","Adelie",38.1,3175
"109","Adelie",43.2,4775
"110","Adelie",38.1,3825
"111","Adelie",45.6,4600
"112","Adelie",39.7,3200
"113","Adelie",42.2,4275
"114","Adelie",39.6,3900
"115","Adelie",42.7,4075
"116","Adelie",38.6,2900
"117","Adelie",37.3,3775
"118","Adelie",35.7,3350
"119","Adelie",41.1,3325
"120","Adelie",36.2,3150
"121","Adelie",37.7,3500
"122","Adelie",40.2,3450
"123","Adelie",41.4,3875
"124","Adelie",35.2,3050
"125","Adelie",40.6,4000
"126","Adelie",38.8,3275
"127","Adelie",41.5,4300
"128","Adelie",39,3050
"129","Adelie",44.1,4000
"130","Adelie",38.5,3325
"131","Adelie",43.1,3500
"132","Adelie",36.8,3500
"133","Adelie",37.5,4475
"134","Adelie",38.1,3425
"135","Adelie",41.1,3900
"136","Adelie",35.6,3175
"137","Adelie",40.2,3975
"138","Adelie",37,3400
"139","Adelie",39.7,4250
"140","Adelie",40.2,3400
"141","Adelie",40.6,3475
"142","Adelie",32.1,3050
"143","Adelie",40.7,3725
"144","Adelie",37.3,3000
"145","Adelie",39,3650
"146","Adelie",39.2,4250
"147","Adelie",36.6,3475
"148","Adelie",36,3450
"149","Adelie",37.8,3750
"150","Adelie",36,3700
"151","Adelie",41.5,4000
